question_id,user_question,expected_answer_summary,relevant_document,risk_category,should_escalate,difficulty_level,generated_answer,retrieved_sources,source_match,predicted_escalation,escalation_correct,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score,overall_quality_score,evaluator_notes,answer_relevance_score,groundedness_score,completeness_score,unsupported_claim_risk_score
Q-11,What geographic restrictions apply to vendors hosting BrightPath business data?,All customer data must reside within the European Economic Area (EEA) or in jurisdictions with a formal EU adequacy decision.,vendor_risk_checklist.md,Security,No,Medium,"The policy documents do not provide enough information to answer the question about the geographic restrictions that apply to vendors hosting BrightPath business data. The provided context mentions requirements for vendors processing BrightPath customer data, but it does not explicitly state the geographic restrictions for vendors hosting BrightPath business data.

However, based on the context, it can be inferred that vendors processing BrightPath customer data must reside within the European Economic Area (EEA) or in jurisdictions with a formal EU adequacy decision. This might imply that similar restrictions could apply to vendors hosting BrightPath business data, but this is not explicitly stated.

Escalation needed: Yes
Reason: The policy documents do not provide clear information about the geographic restrictions for vendors hosting BrightPath business data.",faq_knowledge_base.md (score=0.8197); data_privacy_and_ai_usage_policy.md (score=0.7755); vendor_risk_checklist.md (score=0.7504); vendor_risk_checklist.md (score=0.7496); internal_employee_ai_use_guidelines.md (score=0.7457),1,yes,0,4,3,4,5,0.6667,,4,3,4,5
Q-12,What is the target response time for an urgent email regarding a failed delivery from a corporate partner?,The target first response time is within 2 business hours.,customer_support_policy.md,SLA,No,Medium,"According to the policy documents, the target response time for an urgent email regarding a failed delivery from a corporate partner is less than 2 business hours.

Escalation needed: No
Reason: The policy clearly states the target response time for urgent emails from corporate partners.",customer_support_policy.md (score=0.6993); delivery_and_tracking_sop.md (score=0.6892); delivery_and_tracking_sop.md (score=0.6875); faq_knowledge_base.md (score=0.6864); refund_and_replacement_policy.md (score=0.6841),1,no,1,4,5,4,5,0.9167,,4,5,4,5
Q-13,My tracking says delivered but I have not received it. Can the AI assistant issue a replacement?,No. AI cannot resolve tracking disputes. It must escalate the case to a human agent to open a courier investigation.,delivery_and_tracking_sop.md,Logistics,Yes,Medium,"Based on the provided policy context, the AI assistant cannot issue a replacement for the missing package. According to Section 4.1 of Document 3, the AI Assistant is restricted from managing shipping issues autonomously. Additionally, Section 3.1 of Document 4 states that if the tracking status shows ""Delivered,"" but the customer disputes this, the AI must immediately escalate the query to a human agent and cross-reference Section 4.1 (Disputed Deliveries).

Since the tracking status shows ""Delivered"" and the customer disputes this, the AI must escalate the query to a human agent for further investigation.

Escalation needed: Yes
Reason: The tracking status shows ""Delivered"" and the customer disputes this, requiring human investigation.",refund_and_replacement_policy.md (score=0.7872); delivery_and_tracking_sop.md (score=0.7814); customer_support_policy.md (score=0.7515); delivery_and_tracking_sop.md (score=0.7514); customer_support_policy.md (score=0.7389),1,yes,1,5,4,4,4,0.875,,5,4,4,4
Q-14,A customer wants their purchase data entirely deleted. What is the process?,The request must be escalated to the Data Protection Officer (DPO) to review within 72 hours under GDPR rules.,escalation_matrix.md,Privacy,Yes,Medium,"Based on the provided policy context, the process for a customer to request their purchase data entirely deleted is as follows:

According to Document 1 (vendor_risk_checklist.md, Section 3.1 Data Sovereignty & GDPR Compliance, question 3. Data Deletion Policy), the vendor must have a process and timeline for deleting or returning BrightPath data upon contract termination. The requirement is that complete deletion must occur within 30 days of contract termination, with a certified destruction receipt provided.

However, the policy does not explicitly state the process for a customer to request their data deletion. Therefore, I must recommend human escalation to ensure the customer's request is handled correctly.

Escalation needed: Yes
Reason: The policy does not explicitly state the process for a customer to request their data deletion.",vendor_risk_checklist.md (score=0.7047); refund_and_replacement_policy.md (score=0.6746); faq_knowledge_base.md (score=0.6621); escalation_matrix.md (score=0.6493); data_privacy_and_ai_usage_policy.md (score=0.6491),1,yes,1,4,5,4,4,0.875,,4,5,4,4
Q-15,I ordered custom whiteboards with my corporate logo valued at €1200. Can I return them because we downsized our meeting room?,No. Customized items and bulk orders exceeding €1500 are non-returnable unless defective upon arrival.,refund_and_replacement_policy.md,Refund,No,Hard,"Based on the provided policy context, the order value of €1200 for custom whiteboards with the corporate logo exceeds the threshold of €1,500.00 for custom/bulk orders. According to Section 2.2 of Document 4, customized items and bulk orders exceeding €1,500.00 are non-returnable and non-refundable unless verified as defective upon arrival.

Escalation needed: No
Reason: The policy clearly states that custom orders exceeding €1,500.00 are non-returnable and non-refundable.",faq_knowledge_base.md (score=0.7197); faq_knowledge_base.md (score=0.7065); refund_and_replacement_policy.md (score=0.7045); refund_and_replacement_policy.md (score=0.6916); faq_knowledge_base.md (score=0.6875),1,no,1,4,5,5,5,0.9583,,4,5,5,5
Q-16,How long do we store support chat logs before deleting them for GDPR compliance?,Support chat logs are retained on secure cloud instances for exactly 90 days and then automatically purged.,data_privacy_and_ai_usage_policy.md,Privacy,No,Easy,"According to the policy documents, support chat logs are retained on secure cloud instances for exactly **90 days** and are then automatically purged. This information is found in Document 1, Section 2.4, Q28: ""How long do you store our support chat logs?"".

Escalation needed: No
Reason: The policy clearly states the retention period for support chat logs.",faq_knowledge_base.md (score=0.8466); data_privacy_and_ai_usage_policy.md (score=0.7719); faq_knowledge_base.md (score=0.7409); vendor_risk_checklist.md (score=0.6993); data_privacy_and_ai_usage_policy.md (score=0.6935),1,no,1,5,4,5,5,0.9583,,5,4,5,5
Q-17,An employee generated a report using the BrightPath AI Copilot and it contained errors. Who is responsible?,"The human employee who published the work is fully accountable, not the AI tool.",internal_employee_ai_use_guidelines.md,AI Governance,No,Easy,"According to the policy documents, the employee who generated the report using the BrightPath AI Copilot is personally responsible for the accuracy of the output. This is stated in Section 3.1 of Document 1, where it says: ""You are personally responsible for the accuracy of the email."" (Source: BP-POL-AIU-006, Section 3 & 6)

This means that the employee must manually verify and edit the output before sending, and they are accountable for any errors or inaccuracies in the report.

Escalation needed: No
Reason: The policy clearly states that the employee is personally responsible for the accuracy of the output.",faq_knowledge_base.md (score=0.7474); data_privacy_and_ai_usage_policy.md (score=0.7451); customer_support_policy.md (score=0.7447); productivity_baseline_notes.md (score=0.7444); escalation_matrix.md (score=0.7407),0,no,1,2,4,3,4,0.5417,,2,4,3,4
Q-18,What certifications must a high-risk software vendor provide before contract execution?,They must hold an active ISO/IEC 27001 or SOC 2 Type II certification.,vendor_risk_checklist.md,Security,No,Medium,"Based on the provided policy context, a high-risk software vendor must provide the following certifications before contract execution:

- A Detailed GDPR Data Processing Agreement (DPA)
- ISO 27001 proof or equivalent
- Business continuity plan

Additionally, the vendor must answer the mandatory due diligence questions outlined in Section 3.2 of the vendor risk checklist, including:

- Security certifications (ISO/IEC 27001 or SOC 2 Type II certification)
- Encryption standards (data encrypted both in transit and at rest)
- Breach notification SLA (guaranteed response time to notify BrightPath in the event of a suspected or confirmed data breach)

Escalation needed: No
Reason: The policy context clearly outlines the required certifications and due diligence questions for high-risk vendors.",vendor_risk_checklist.md (score=0.745); vendor_risk_checklist.md (score=0.7171); faq_knowledge_base.md (score=0.7142); vendor_risk_checklist.md (score=0.7133); vendor_risk_checklist.md (score=0.7071),1,no,1,4,4,4,4,0.8333,,4,4,4,4
Q-19,If our shipping carrier takes 5 days to investigate a missing package," do we refund the client immediately?,No. BrightPath cannot issue a refund while a courier investigation is pending.",delivery_and_tracking_sop.md,Logistics,No,Medium,"If our shipping carrier takes 5 days to investigate a missing package, according to Section 4.1 of Document 1 (delivery_and_tracking_sop.md), a human agent must open a formal dispute file with the courier within 5 business days of the marked delivery date. The carrier's resolution time is typically 3 to 10 business days, which matches the 5-day investigation period.

Escalation needed: No
Reason: The policy context supports the carrier's 5-day investigation period.",delivery_and_tracking_sop.md (score=0.7611); faq_knowledge_base.md (score=0.7458); delivery_and_tracking_sop.md (score=0.7161); refund_and_replacement_policy.md (score=0.716); faq_knowledge_base.md (score=0.6927),1,no,1,5,5,5,4,0.9583,,5,5,5,4
Q-20,Can an employee use an AI tool to automate the recruitment screening of junior customer support agents?,No. HR AI screening tools are classified as high-risk under the EU AI Act and require mandatory human-in-the-loop review.,internal_employee_ai_use_guidelines.md,AI Governance,No,Medium,"Based on the retrieved policy context, it appears that using an AI tool to automate the recruitment screening of junior customer support agents is not allowed. 

Document 4, Section 3. Prohibited AI Use Cases, explicitly states that ""Employees must not use AI tools to automatically evaluate, accept, or reject job applications, employee performance ratings, or candidate resumes."" This is due to the EU AI Act, which classifies recruitment tools as high-risk and requires human-in-the-loop review.

Additionally, Document 2, Section 6. Accountability Statement, emphasizes that the use of AI does not relieve an employee of their professional responsibilities, and that employees are held accountable for errors or non-compliance, even if AI recommendations are used.

Therefore, it is not recommended to use an AI tool to automate the recruitment screening of junior customer support agents.

Escalation needed: No
Reason: The policy explicitly prohibits the use of AI tools for automated recruitment screening.",faq_knowledge_base.md (score=0.7393); internal_employee_ai_use_guidelines.md (score=0.7221); productivity_baseline_notes.md (score=0.7136); internal_employee_ai_use_guidelines.md (score=0.7118); customer_support_policy.md (score=0.7074),1,no,1,5,4,4,4,0.875,,5,4,4,4
Q-21,What are the support phone line operating hours and number?,"The line is +31 (0) 20 555 0199 and is open 09:00 to 17:00 CET, Monday through Friday.",customer_support_policy.md,SLA,No,Easy,"The support phone line operating hours and number are as follows:

- Operating hours: Monday through Friday, 09:00 to 17:00 CET.
- Phone number: +31 (0) 20 555 0199.

Escalation needed: No
Reason: The question is answered directly from the policy documents.",customer_support_policy.md (score=0.7106); delivery_and_tracking_sop.md (score=0.6605); customer_support_policy.md (score=0.648); customer_support_policy.md (score=0.6479); customer_complaint_handling_sop.md (score=0.6316),1,no,1,5,5,5,4,0.9583,,5,5,5,4
Q-22,A customer is using bad language and screaming at the AI Assistant. What should the system do?,The AI must immediately escalate the interaction to a live human support agent.,customer_support_policy.md,Escalation,Yes,Easy,"Based on the retrieved policy context, when a customer is using bad language and screaming at the AI Assistant, the system should trigger a transfer to a human support agent. This is because the AI Assistant detects ""Negative Sentiment / Frustration"" (Section 5.1 of Document 1), which is one of the mandated human review and escalation triggers.

The AI Assistant should immediately flag the chat history with `#AI-COMPLAINT` and duplicate it to the AI Governance Specialist (Section 4 of Document 2). Additionally, the AI Assistant should be completely deactivated for that specific customer's profile, and all future touchpoints should bypass automated chat systems and route straight to human agents.

Escalation needed: Yes
Reason: The AI Assistant detected negative sentiment and frustration, which is a mandated human review and escalation trigger.",customer_support_policy.md (score=0.7676); customer_complaint_handling_sop.md (score=0.7513); data_privacy_and_ai_usage_policy.md (score=0.7157); customer_support_policy.md (score=0.7073); internal_employee_ai_use_guidelines.md (score=0.6975),1,yes,1,4,5,4,5,0.9167,,4,5,4,5
Q-23,What is the maximum contract length we can sign with a critical cloud ERP software vendor?,"A maximum initial term of 12 months, with reviews every 6 months, to mitigate vendor lock-in.",vendor_risk_checklist.md,Security,No,Hard,"According to the policy documents, the maximum initial term of a contract for a Critical Risk system, such as a critical cloud ERP software vendor, must be 12 months, with reviews every 6 months. This is stated in Section 4 of the vendor_risk_checklist.md document.

Escalation needed: No
Reason: The policy clearly outlines the maximum contract length for Critical Risk systems.",vendor_risk_checklist.md (score=0.7216); vendor_risk_checklist.md (score=0.684); vendor_risk_checklist.md (score=0.6515); faq_knowledge_base.md (score=0.6449); escalation_matrix.md (score=0.6441),1,no,1,5,5,4,5,0.9583,,5,5,4,5
Q-24,How soon must a software vendor notify BrightPath in writing of a suspected security breach?,Within 24 hours of discovery.,vendor_risk_checklist.md,Security,No,Medium,"According to the policy documents, a software vendor must notify BrightPath in writing of a suspected security breach within 24 hours of discovery. This is stated in Section 3.2 of BP-CHK-VRC-007, which requires Critical and High Risk vendors to guarantee written notification of any suspected or confirmed data breach within 24 hours of discovery.

Escalation needed: No
Reason: The policy clearly states the required notification timeframe.",faq_knowledge_base.md (score=0.8212); vendor_risk_checklist.md (score=0.7797); data_privacy_and_ai_usage_policy.md (score=0.7561); vendor_risk_checklist.md (score=0.7413); delivery_and_tracking_sop.md (score=0.737),1,no,1,4,4,5,5,0.9167,,4,4,5,5
Q-25,An order of custom stationery is delayed by 10 days. The customer wants a refund. The order value is €550. Can the supervisor approve this refund?,This is a High-Value Transaction (> €500). It requires supervisor approval AND joint sign-off from the Finance Department.,refund_and_replacement_policy.md,Refund,Yes,Hard,"Based on the retrieved policy context, the order value is €550, which exceeds the €500 threshold for a High-Value Transaction. According to Document 3 (Section 3. Internal Employee FAQs, Q37), any refund exceeding €500 requires written approval from both a Customer Support Supervisor and the Finance Department.

Therefore, the supervisor cannot approve the refund without further escalation.

Escalation needed: Yes
Reason: The order value exceeds the €500 threshold for a High-Value Transaction, requiring written approval from both a Customer Support Supervisor and the Finance Department.",refund_and_replacement_policy.md (score=0.79); faq_knowledge_base.md (score=0.7714); faq_knowledge_base.md (score=0.7711); faq_knowledge_base.md (score=0.7597); faq_knowledge_base.md (score=0.7564),1,yes,1,5,5,4,4,0.9167,,5,5,4,4
Q-26,What is the weekly average historical manual ticket volume?,The manual era baseline is 850 tickets per week.,productivity_baseline_notes.md,Operations,No,Easy,"The weekly average historical manual ticket volume is 850 tickets (all channels combined), as stated in Section 3. Average Historical Support Volumes & SLAs (Manual Era) of Document 1.

Escalation needed: No
Reason: The question is answered directly from the provided policy context.",productivity_baseline_notes.md (score=0.7288); productivity_baseline_notes.md (score=0.6981); customer_complaint_handling_sop.md (score=0.6026); productivity_baseline_notes.md (score=0.5894); customer_support_policy.md (score=0.5873),1,no,1,5,4,4,4,0.875,,5,4,4,4
Q-27,What formal tag should be applied to a CRM ticket if a customer claims their personal data was leaked?,It must be tagged with #DATA-BREACH and routed immediately to the Data Protection Officer.,data_privacy_and_ai_usage_policy.md,Privacy,Yes,Medium,"According to Document 5, Section 3. Internal Employee FAQs, Q49: ""What is the formal tag used for a ticket when a data breach is suspected?"" The answer is: ""Suspected data breaches must be logged with the tag `#DATA-BREACH` and escalated to the Data Protection Officer immediately.""

Escalation needed: No
Reason: The policy clearly states the formal tag to be used for a suspected data breach ticket.",customer_complaint_handling_sop.md (score=0.7098); data_privacy_and_ai_usage_policy.md (score=0.6903); customer_complaint_handling_sop.md (score=0.6732); escalation_matrix.md (score=0.6525); faq_knowledge_base.md (score=0.6521),1,no,0,3,3,4,5,0.625,,3,3,4,5
Q-28,"Can the AI assistant quote an ergonomic chair as being ""proven to cure lower back pain""?",No. AI is prohibited from making health or safety warranties beyond manufacturer specifications.,customer_support_policy.md,AI Governance,No,Medium,"The AI assistant cannot quote an ergonomic chair as being ""proven to cure lower back pain"" because it is prohibited by policy (Document 5, Section 7. Prohibited Claims and Hallucination Mitigation, point 3).

Escalation needed: No
Reason: The policy explicitly prohibits making safety warranties beyond manufacturer specs.",internal_employee_ai_use_guidelines.md (score=0.6933); customer_support_policy.md (score=0.6636); customer_support_policy.md (score=0.6632); faq_knowledge_base.md (score=0.6604); customer_support_policy.md (score=0.6566),1,no,1,4,5,5,5,0.9583,,4,5,5,5
Q-29,What formal tag is applied if a customer complains that the AI assistant was rude to them?,It must be tagged with #AI-COMPLAINT and duplicated to the AI Governance Specialist.,customer_complaint_handling_sop.md,AI Governance,Yes,Hard,"According to the policy documents, if a customer complains that the AI assistant was rude to them, the formal tag applied is `#AI-COMPLAINT`. This is specified in Section 4 of Document 1: customer_complaint_handling_sop.md, which outlines the special rules for AI-related complaints.

Escalation needed: Yes
Reason: The AI assistant's behavior is being questioned, which requires immediate quarantine and human intervention.",customer_complaint_handling_sop.md (score=0.7618); customer_support_policy.md (score=0.7601); faq_knowledge_base.md (score=0.7523); internal_employee_ai_use_guidelines.md (score=0.7331); customer_complaint_handling_sop.md (score=0.7286),1,yes,1,5,4,4,5,0.9167,,5,4,4,5
Q-30,What is the first step when a customer reports their office furniture order was damaged in transit?,They must report the damage within 48 hours of delivery and submit clear photos of the packaging and product.,refund_and_replacement_policy.md,Refund,No,Medium,"When a customer reports their office furniture order was damaged in transit, the first step is to report the transit damage within 48 hours of delivery. The customer must submit clear digital photographs of the outer packaging, inner packaging, and the damaged item itself via email or the customer portal.

Escalation needed: No
Reason: The policy clearly outlines the steps for reporting and resolving damaged items, which does not require human escalation.",refund_and_replacement_policy.md (score=0.7353); customer_complaint_handling_sop.md (score=0.6893); faq_knowledge_base.md (score=0.6877); delivery_and_tracking_sop.md (score=0.6818); customer_complaint_handling_sop.md (score=0.6719),1,no,1,5,4,5,5,0.9583,,5,4,5,5
Q-31,I have a standard B2C delivery to Germany that hasn't arrived in 6 business days. Is this a delay?,No. Standard delivery to Germany takes 2 to 4 business days. It must exceed this window by 3 business days to be officially delayed.,delivery_and_tracking_sop.md,Logistics,No,Hard,"Based on the provided policy context, the standard shipping time for Germany is 2 to 4 business days. Since 6 business days have passed, this is indeed a delay.

According to Section 4.2 of Document 4 (delivery_and_tracking_sop.md), a package is officially classified as ""Delayed"" if it has not arrived within 3 business days past the maximum estimated delivery window. In this case, the maximum estimated delivery window for Germany is 4 business days, and 6 business days have passed, which is more than 3 business days past the estimated delivery window.

Escalation needed: No
Reason: The policy clearly defines the delay criteria, and the customer's order has exceeded the maximum estimated delivery window.",delivery_and_tracking_sop.md (score=0.7431); faq_knowledge_base.md (score=0.7369); faq_knowledge_base.md (score=0.7279); delivery_and_tracking_sop.md (score=0.7267); faq_knowledge_base.md (score=0.7199),1,no,1,4,5,4,5,0.9167,,4,5,4,5
Q-32,What happens to a customer's chat interface once they submit a complaint about the AI's behavior?,"The AI Assistant must be completely deactivated for that customer, routing all future contacts to human agents.",customer_complaint_handling_sop.md,AI Governance,Yes,Hard,"According to the policy documents, when a customer submits a complaint about the AI's behavior, the following actions occur:

1. The chat history is immediately flagged with `#AI-COMPLAINT` and duplicated to the AI Governance Specialist.
2. The AI Assistant is completely deactivated for that specific customer's profile, and all future touchpoints bypass automated chat systems and route straight to human agents.
3. The AI Governance Specialist reviews the prompt log within 3 business days to determine if prompt injection occurred or if model parameters require adjustment.

Additionally, the AI Assistant must trigger a transfer to a human support agent (or create a high-priority ticket if outside business hours) in the following circumstances, which may also apply to complaints about the AI's behavior:

- Detection of negative sentiment or frustration
- Third-time failure
- High-value customer transactions (over €500.00)
- GDPR/Privacy Inquiries
- Ambiguous or contradictory scenarios

Escalation needed: No
Reason: The policy documents clearly outline the steps to be taken when a customer submits a complaint about the AI's behavior, and the AI Assistant is deactivated and human agents are involved in the process.",customer_complaint_handling_sop.md (score=0.8351); customer_support_policy.md (score=0.7449); faq_knowledge_base.md (score=0.7247); data_privacy_and_ai_usage_policy.md (score=0.7168); customer_complaint_handling_sop.md (score=0.7167),1,no,0,3,3,4,5,0.625,,3,3,4,5
Q-33,What is the historical baseline error rate for manual policy application by support staff?,The baseline manual error rate is 6.8%.,productivity_baseline_notes.md,Operations,No,Easy,"The historical baseline error rate for manual policy application by support staff is 6.8% of tickets, as stated in Section 4 of Document 1: productivity_baseline_notes.md.

This rate represents the percentage of tickets where the support staff incorrectly applied the policy, such as issuing refunds without warehouse verification or quoting incorrect B2B return windows.

Escalation needed: No
Reason: The question is answered directly from the provided policy context.",productivity_baseline_notes.md (score=0.7579); productivity_baseline_notes.md (score=0.6975); productivity_baseline_notes.md (score=0.6934); productivity_baseline_notes.md (score=0.6775); productivity_baseline_notes.md (score=0.6603),1,no,1,4,4,5,4,0.875,,4,4,5,4
